strut_id,defect_class,touches_excluded_nominal_plane,excluded_nominal_axis,excluded_nominal_value,x0_nominal,y0_nominal,z0_nominal,x1_nominal,y1_nominal,z1_nominal,same_material_component_connects_a_to_b,a_collar_foreground_fraction,b_collar_foreground_fraction,endpoint0_to_collar_component_voxel_count_in_corridor,endpoint1_to_collar_component_voxel_count_in_corridor,minimum_endpoint_to_collar_component_voxel_count_in_corridor,central_material_slice_fraction,a_side_material_slice_fraction,b_side_material_slice_fraction,longest_empty_run_slices,central_mean_foreground_fraction,central_reference_foreground_fraction_p90,central_minimum_foreground_fraction,central_minimum_smoothed_foreground_fraction,central_minimum_relative_to_reference,central_material_loss_fraction,central_deficit_cutoff_foreground_fraction,central_deficit_fraction,longest_deficit_run_samples,minimum_endpoint_collar_foreground_fraction,both_endpoint_segments_observed,reasons
10,missing,False,y,18.0,0.0,0.0,2.0,1.0,0.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
596,missing,False,y,18.0,12.0,5.0,1.0,13.0,5.0,2.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
602,missing,False,y,18.0,14.0,5.0,1.0,13.0,5.0,2.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
605,missing,False,y,18.0,13.0,4.0,1.0,13.0,5.0,2.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
606,missing,False,y,18.0,13.0,6.0,1.0,13.0,5.0,2.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1081,missing,False,y,18.0,18.0,10.0,0.0,18.0,9.0,1.0,False,0.0134228187919,0.0,1708,0,0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1288,missing,False,y,18.0,15.0,10.0,1.0,16.0,11.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1310,missing,False,y,18.0,16.0,11.0,1.0,17.0,12.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1372,missing,False,y,18.0,4.0,12.0,0.0,4.0,13.0,1.0,False,0.154362416107,0.0,2271,0,0,0.06060606060606061,0.18181818181818182,0.0,31,0.005897905226764287,0.005369127516778528,0.0,0.0,0.0,0.8787878787878788,0.002684563758389264,0.8787878787878788,29,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1666,missing,False,y,18.0,10.0,16.0,2.0,10.0,15.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1728,missing,False,y,18.0,15.0,14.0,1.0,16.0,15.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1766,missing,True,y,18.0,0.0,18.0,2.0,0.0,17.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1772,missing,True,y,18.0,2.0,18.0,0.0,1.0,18.0,1.0,False,0.0167785234899,0.0,0,0,0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1773,missing,True,y,18.0,0.0,18.0,0.0,1.0,18.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1774,missing,True,y,18.0,0.0,18.0,2.0,1.0,18.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1775,missing,True,y,18.0,2.0,18.0,2.0,1.0,18.0,1.0,False,0.0,0.0,0,0,0,0.0,0.0,0.0,33,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1800,missing,True,y,18.0,4.0,18.0,0.0,3.0,18.0,1.0,False,0.0436241610738,0.157718120805,0,0,0,0.05263157894736842,0.0,0.16666666666666666,36,0.006534793359237019,0.010738255033557104,0.0,0.0,0.0,0.8782894736842105,0.005369127516778552,0.868421052631579,33,0.0436241610738,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1801,missing,True,y,18.0,2.0,18.0,0.0,3.0,18.0,1.0,False,0.0,0.157718120805,0,0,0,0.05555555555555555,0.0,0.16666666666666666,34,0.0076435495898583145,0.003355704697986577,0.0,0.0,0.0,0.8888888888888888,0.0016778523489932886,0.8888888888888888,32,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1802,missing,True,y,18.0,2.0,18.0,2.0,3.0,18.0,1.0,False,0.010067114094,0.0,0,0,0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
1803,missing,True,y,18.0,4.0,18.0,2.0,3.0,18.0,1.0,False,0.0268456375839,0.0,0,0,0,0.0,0.0,0.0,33,0.0006101281269066504,0.0,0.0,0.0,,1.0,0.0,0.0,0,0.0,False,primary_disconnected|central_present_slice_fraction_at_most_10_percent
